Region,Species,Start Exploitation,Finish Exploitation,Start predomestication ,Finish predomestication,Start Domestication,Finish Domestication
Southwest asia,Wheat,12,11.25,11.25,11,11,9
Southwest asia,Barley,12,11.25,11.25,10.5,10.5,9
Southwest asia,Lentil,12,11,11,10.5,10.5,9
Southwest asia,Pea,11.5,11,11,10,10,8.5
Southwest asia,Chickpea,11,10.5,10.5,10.25,10.25,8.25
Southwest asia,Broadbean,NA,NA,NA,NA,10.5,NA
Southwest asia,Flax,12,9.5,NA,NA,9.5,NA
Southwest asia,Olive,10,6,NA,NA,6,NA
Southwest asia,Sheep,12,10.5,10.5,9.75,9.75,8
Southwest asia,Goat,12,10.5,10.5,9.75,9.75,8
Southwest asia,Pig,12,11.5,11.5,9.75,10.25,9
Southwest asia,"Cattle, taurine",11.5,10.5,10.5,10.25,10.25,8
Southwest asia,Cat ,NA,NA,10.5,4,4,NA
South Asia,Tree cotton,8.5,4.5,NA,NA,4.5,NA
South Asia,Rice,8,5,5,4,4,2.5
South Asia,Little millet,NA,NA,NA,NA,4.5,NA
South Asia,Browntop millet,NA,NA,NA,NA,4,NA
South Asia,Mungbean,NA,NA,4.5,3.5,3.5,3
South Asia,Pigeonpea,NA,NA,NA,NA,3.5,NA
South Asia,Zebu cattle,9,8,NA,NA,8,6.5
South Asia,Water buffalo,6,4.5,NA,NA,4.5,NA
East Asia,Broomcorn Millet,10,8,NA,NA,8,NA
East Asia,Foxtail millet,11.5,7.5,NA,NA,7.5,NA
East Asia,Rice,10,8,8,7.5,7.5,5
East Asia,Soybean,8.5,5.5,NA,NA,5.5,4
East Asia,Ramie,NA,NA,NA,NA,5.25,NA
East Asia,Melon,7,4,NA,NA,4,3.75
East Asia,Pig,12,8.5,NA,NA,8.5,6
East Asia,Silkworm,7,5.25,NA,NA,5.25,NA
East Asia,Yak,NA,NA,NA,NA,4.25,NA
East Asia,Horse,7.5,6.75,6.75,5.5,5.5,4
East Asia,Bactrian Camel,NA,NA,NA,NA,4.5,NA
East Asia,Duck,2.5,1,NA,NA,1,NA
East Asia,Chicken,6,4,NA,NA,4,NA
New Guinea,Banana,10,7,7,4,4,NA
New Guinea,Taro ,10,7,7,4,NA,NA
New Guinea,Yam,10,7,7,4,NA,NA
Africa and Arabia,Date palm,7,6,NA,NA,5,NA
Africa and Arabia,Sorghum,8,4,NA,NA,4,NA
Africa and Arabia,Pearl millet,NA,NA,NA,NA,4.5,3.5
Africa and Arabia,Fonio,NA,NA,NA,NA,2.5,NA
Africa and Arabia,Cowpea,NA,NA,NA,NA,3.75,NA
Africa and Arabia,Hyacinth bean,NA,NA,NA,NA,3.75,NA
Africa and Arabia,Rice,3.5,2,NA,NA,2,NA
Africa and Arabia,Oil palm,9.25,3.5,NA,NA,3.5,NA
Africa and Arabia,Cattle,NA,NA,9,7.75,7.75,6.5
Africa and Arabia,Donkey,9,5.5,NA,NA,5.5,3.5
Africa and Arabia,Dromedary camel,6.5,3,NA,NA,3,NA
Africa and Arabia,Guinea fowl,NA,NA,2.5,1.5,1.5,NA
North America,Squash,6.5,5,NA,NA,5,NA
North America,Sunflower,6,4.75,NA,NA,4,NA
North America,Sumpweed,6,4.5,NA,NA,4,NA
North America,Pitseed goosefoot,4.75,3.75,NA,NA,3.75,NA
Meso-america,Squash (pepo),NA,NA,NA,NA,10,9.5
Meso-america,Maize,10,9,NA,NA,9,NA
Meso-america,Foxtail millet-grass,NA,NA,NA,NA,6,4
Meso-america,Common bean,NA,NA,NA,NA,3,NA
Meso-america,Avocado,NA,NA,NA,NA,3,NA
Meso-america,Chile pepper,NA,NA,NA,NA,3,NA
Meso-america,Turkey,NA,NA,NA,NA,2,NA
South America,Chili pepper,NA,NA,NA,NA,6,NA
South America,Peanut ,NA,NA,NA,NA,5,NA
South America,Cotton,NA,NA,NA,NA,6,NA
South America,Coca,NA,NA,NA,NA,8,NA
South America,"Now-minor root crops (arrowroot, leren)",NA,NA,NA,NA,9,NA
South America,Squash,NA,NA,NA,NA,10,NA
South America,Common bean,NA,NA,NA,NA,5,NA
South America,Lima bean,NA,NA,8.25,NA,6,NA
South America,Monioc,NA,NA,NA,NA,7,NA
South America,Sweet potato,NA,NA,NA,NA,5,NA
South America,White potato,7,4.5,NA,NA,4,NA
South America,Quinoa,5,NA,NA,NA,3.5,NA
South America,Yam,NA,NA,NA,NA,5.5,NA
South America,Llama,10,6,NA,NA,6,NA
South America,Alpaca,10,5,NA,NA,5,NA
South America,Guinea pig,NA,NA,NA,NA,5,NA
South America,Muscovy Duck,NA,NA,NA,NA,4,NA
